Date,Open,High,Low,Close,Volume,Market Cap
28-Apr-13,135.3,135.98,132.1,134.21,-,"1,500,520,000"
29-Apr-13,134.44,147.49,134,144.54,-,"1,491,160,000"
30-Apr-13,144,146.93,134.05,139,-,"1,597,780,000"
1-May-13,139,139.89,107.72,116.99,-,"1,542,820,000"
2-May-13,116.38,125.6,92.28,105.21,-,"1,292,190,000"
3-May-13,106.25,108.13,79.1,97.75,-,"1,180,070,000"
4-May-13,98.1,115,92.5,112.5,-,"1,089,890,000"
5-May-13,112.9,118.8,107.14,115.91,-,"1,254,760,000"
6-May-13,115.98,124.66,106.64,112.3,-,"1,289,470,000"
7-May-13,112.25,113.44,97.7,111.5,-,"1,248,470,000"
8-May-13,109.6,115.78,109.6,113.57,-,"1,219,450,000"
9-May-13,113.2,113.46,109.26,112.67,-,"1,259,980,000"
10-May-13,112.8,122,111.55,117.2,-,"1,255,970,000"
11-May-13,117.7,118.68,113.01,115.24,-,"1,311,050,000"
12-May-13,115.64,117.45,113.44,115,-,"1,288,630,000"
13-May-13,114.82,118.7,114.5,117.98,-,"1,279,980,000"
14-May-13,117.98,119.8,110.25,111.5,-,"1,315,720,000"
15-May-13,111.4,115.81,103.5,114.22,-,"1,242,760,000"
16-May-13,114.22,118.76,112.2,118.76,-,"1,274,620,000"
17-May-13,118.21,125.3,116.57,123.02,-,"1,319,590,000"
18-May-13,123.5,125.25,122.3,123.5,-,"1,379,140,000"
19-May-13,123.21,124.5,119.57,121.99,-,"1,376,370,000"
20-May-13,122.5,123.62,120.12,122,-,"1,368,910,000"
21-May-13,122.02,123,121.21,122.88,-,"1,363,940,000"
22-May-13,122.89,124,122,123.89,-,"1,374,130,000"
23-May-13,123.8,126.93,123.1,126.7,-,"1,384,780,000"
24-May-13,126.3,133.85,125.72,133.2,-,"1,413,300,000"
25-May-13,133.1,133.22,128.9,131.98,-,"1,489,950,000"
26-May-13,131.99,136,130.62,133.48,-,"1,478,030,000"
27-May-13,133.5,135.47,124.7,129.75,-,"1,495,520,000"
28-May-13,129.77,130.58,125.6,129,-,"1,454,310,000"
29-May-13,129,132.59,127.66,132.3,-,"1,446,190,000"
30-May-13,132.25,132.25,127,128.8,-,"1,483,180,000"
31-May-13,128.8,129.9,126.4,129,-,"1,445,050,000"
1-Jun-13,128.82,129.78,127.2,129.3,-,"1,445,800,000"
2-Jun-13,129.3,129.4,115.05,122.29,-,"1,451,930,000"
3-Jun-13,122.5,122.5,116,122.22,-,"1,376,180,000"
4-Jun-13,120.74,123.84,119.1,121.42,-,"1,357,020,000"
5-Jun-13,121.4,123.47,119.9,121.65,-,"1,365,110,000"
6-Jun-13,121.9,123.1,117.25,118,-,"1,371,300,000"
7-Jun-13,118.97,119,106.42,111.5,-,"1,338,880,000"
8-Jun-13,111,111.42,107.3,108.3,-,"1,249,630,000"
9-Jun-13,107.89,108.99,88.5,100,-,"1,215,130,000"
10-Jun-13,100.44,110.1,95,106.35,-,"1,131,570,000"
11-Jun-13,106.35,109.6,104,108.9,-,"1,198,640,000"
12-Jun-13,109,111.79,106.73,108.15,-,"1,229,000,000"
13-Jun-13,108.78,110.3,100.53,104,-,"1,227,030,000"
14-Jun-13,103.95,104.7,98,99.98,-,"1,173,060,000"
15-Jun-13,100,103.7,98,99.99,-,"1,128,950,000"
16-Jun-13,99.8,101.6,98.95,99.51,-,"1,127,120,000"
17-Jun-13,99.9,102.21,99,101.7,-,"1,128,720,000"
18-Jun-13,101.95,111.11,101.03,107.4,-,"1,152,250,000"
19-Jun-13,107.05,110.23,105.76,108.25,-,"1,210,260,000"
20-Jun-13,108.25,114.3,107.5,110.15,-,"1,224,210,000"
21-Jun-13,111.29,114.99,107.69,109.5,-,"1,259,000,000"
22-Jun-13,109.5,109.96,107.51,108.3,-,"1,239,210,000"
23-Jun-13,108.2,108.8,106.23,107.6,-,"1,224,980,000"
24-Jun-13,107.9,108.33,100.98,102.74,-,"1,222,030,000"
25-Jun-13,102.09,106.47,101.01,103.95,-,"1,156,610,000"
26-Jun-13,103.33,105.49,102.79,104,-,"1,171,050,000"
27-Jun-13,104,104,101.1,101.44,-,"1,179,110,000"
28-Jun-13,101.74,101.74,92.33,94.65,-,"1,153,880,000"
29-Jun-13,94.66,99.99,93,94.99,-,"1,074,010,000"
30-Jun-13,95,98.12,94.22,96.61,-,"1,078,260,000"
1-Jul-13,97.51,97.66,86.3,88.05,-,"1,107,130,000"
2-Jul-13,88.05,92.3,87.51,90.13,-,"1,000,070,000"
3-Jul-13,90.41,90.98,76.98,77.53,-,"1,027,160,000"
4-Jul-13,78.89,83.11,72,80.53,-,"896,693,000"
5-Jul-13,79.99,80,65.53,68.43,-,"909,526,000"
6-Jul-13,68.51,75,66.82,70.28,-,"779,255,000"
7-Jul-13,68.75,74.56,66.62,74.56,-,"782,352,000"
8-Jul-13,76.5,80,72.6,76.52,-,"870,912,000"
9-Jul-13,76,78.3,72.52,76.69,-,"865,585,000"
10-Jul-13,76.72,87,76.2,86.76,-,"874,138,000"
11-Jul-13,88,90.28,85.08,88.98,-,"1,003,090,000"
12-Jul-13,88.98,104,88.17,93.59,-,"1,014,640,000"
13-Jul-13,93.99,98.25,88.06,98.13,-,"1,072,140,000"
14-Jul-13,98.7,98.7,92.86,94.69,-,"1,126,260,000"
15-Jul-13,93.61,101.9,93.11,98.4,-,"1,068,520,000"
16-Jul-13,98.89,99.86,96.14,97.45,-,"1,129,260,000"
17-Jul-13,96.71,99.97,96.18,98.5,-,"1,104,760,000"
18-Jul-13,98.5,98.8,86.2,90.58,-,"1,125,660,000"
19-Jul-13,90.07,95.2,87.8,92.17,-,"1,029,670,000"
20-Jul-13,92,93.1,89.27,89.39,-,"1,052,140,000"
21-Jul-13,89.82,91.95,88,90.76,-,"1,027,640,000"
22-Jul-13,92,92,90.08,91.61,-,"1,053,000,000"
23-Jul-13,91.6,96.82,91.6,95.56,-,"1,048,820,000"
24-Jul-13,95.56,95.99,93,94.51,-,"1,094,490,000"
25-Jul-13,94.51,97.33,93.87,96.9,-,"1,082,800,000"
26-Jul-13,96.95,97.47,96,96.02,-,"1,111,160,000"
27-Jul-13,96.02,97,93,94.12,-,"1,100,900,000"
28-Jul-13,94.4,100.58,94,99.76,-,"1,082,750,000"
29-Jul-13,98.6,102.5,98.46,101.2,-,"1,131,340,000"
30-Jul-13,101.49,107.99,100.47,107.99,-,"1,164,940,000"
31-Jul-13,107.95,111.34,103.88,106.09,-,"1,239,630,000"
1-Aug-13,106.21,108,103.01,104,-,"1,220,190,000"
2-Aug-13,104.86,108,101.21,104.5,-,"1,205,070,000"
3-Aug-13,104.5,105.78,102,104.01,-,"1,201,490,000"
4-Aug-13,104.95,105.95,103.52,105.14,-,"1,207,100,000"
5-Aug-13,105.12,107.77,105,106.22,-,"1,209,520,000"
6-Aug-13,106.72,107.38,105.56,106.75,-,"1,228,440,000"
7-Aug-13,106.75,106.75,106.75,106.75,-,"1,229,100,000"
8-Aug-13,106.75,106.75,101.26,103,-,"1,229,100,000"
9-Aug-13,103.07,105.75,101.94,102.8,-,"1,187,920,000"
10-Aug-13,102.8,103.9,102.41,103,-,"1,185,310,000"
11-Aug-13,103,105.19,102.76,105,-,"1,188,150,000"
12-Aug-13,105,108,103.5,106.64,-,"1,211,790,000"
13-Aug-13,106.99,109.35,104.65,109,-,"1,235,340,000"
14-Aug-13,109.56,115,108,112.56,-,"1,265,450,000"
15-Aug-13,112.56,113.25,109,109.99,-,"1,300,660,000"
16-Aug-13,110,112.3,108.52,108.99,-,"1,271,470,000"
17-Aug-13,108.99,113.75,108.23,113.5,-,"1,260,350,000"
18-Aug-13,112.75,114.69,112,113.5,-,"1,304,320,000"
19-Aug-13,113.38,123.06,111.77,119,-,"1,312,160,000"
20-Aug-13,119,123.01,117.51,121.21,-,"1,377,730,000"
21-Aug-13,121.21,124.91,119.68,123.3,-,"1,403,890,000"
22-Aug-13,123.3,123.5,120.6,121.15,-,"1,428,700,000"
23-Aug-13,122,122,118.44,118.5,-,"1,414,290,000"
